,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,181,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,7,Ecoute Moi,F,4,deferre_posterieurs,Mlle.M.Lemonnier,LoicGroussard,9560,"[0, 7, 0]",['D'],111,102,False,False
52,182,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,8,Enneigee,F,4,False,D.Bonne,S.Lelievre,14430,"[7, 5, 'D']",[7],32,36,False,False
53,183,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,False,Esquive,False,False,False,False,False,False,False,False,False,False,False,False
54,184,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,10,Epona De Chenou,F,4,False,JulienRaffestin,L.Lerenard,14990,[],"[6, 2, 2, 6]",14,32,False,False
55,185,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,11,Electra,F,4,False,Mlle.C.Saout,S.Bouisson,15780,"[5, 4, 2, 3]",[],14,10,False,False
56,186,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,12,Equidia Best,F,4,deferre_posterieurs,Mlle.C.Jacob,MickaelCormy,15970,"[9, 4, 1]",[8],42,24,3,77.16666666666667
57,187,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,13,Electra Du Camp,F,4,deferre_anterieurs_posterieurs,A.Barrier,C.Pilfert,16240,"[9, 6, 3]",[8],13,9.7,False,76.0
58,188,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,14,Ejane,F,4,deferre_anterieurs_posterieurs,A.Garandeau,A.Garandeau,16640,"[5, 5, 2, 2]",[],5.9,6.7,5,78.33333333333333
59,189,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,False,Eva,False,False,False,False,False,False,False,False,False,False,False,False
60,190,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,16,Etorkizuna,F,4,False,J.Vanmeerbeck,J.Vanmeerbeck,17750,"[2, 5]","[1, 3]",3.7,3.8,2,76.83333333333333
